"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1953-10",,"1282","6","4","0","0","0","0","0","0","40","0","0.0","2.49","82","191","4.30",,"0.0","60.7","69.2","52.2",,,,,,,"1106.7",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1953-11",,"1282","7","5","1","1","0","1","0","0","30","1","2.2","0.77","73","650","2.03",,"2.2","49.7","57.0","42.4",,,,,,,"1040.8",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1953-12",,"1282","11","9","0","0","0","9","3","0","15","0","0.0","1.46","63","1383","4.42",,"0.0","41.3","47.6","35.0",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1954-01",,"0","12","6","10","4","0","26","9","0","7","9","5.4","0.45","56","2444","1.65",,"12.7","30.8","38.1","23.5",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1954-02",,"0","7","5","1","0","0","10","2","0","11","1","0.5","0.63","71","3141","1.81",,"0.5","40.1","47.9","32.3",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1954-03",,"0","8","7","0","0","0","13","1","0","22","0","0.1","0.87","68","3868","3.25",,"0.1","41.5","49.3","33.8",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1954-04",,"10","10","6","0","0","0","3","0","0","23","0","0.3","1.29","78","4216","2.71",,"0.3","53.7","63.2","44.3",,,,,,,"1402.4",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1954-05",,"43","13","6","0","0","0","0","0","0","42","0","0.0","1.05","85","4410","3.11",,"0.0","59.8","67.7","51.9",,,,,,,"1008.5",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1954-06",,"248","5","3","0","0","0","0","0","3","54","0","0.0","0.59","92","4419","1.32",,"0.0","71.6","81.0","62.2",,,,,,,"864.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1954-07",,"611","7","4","0","0","0","0","0","11","60","0","0.0","0.37","100","0","0.96",,"0.0","76.7","86.7","66.7",,,,,,,"727.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1954-08",,"850","8","7","0","0","0","0","0","3","58","0","0.0","1.84","92","0","6.09",,"0.0","72.7","81.3","64.1",,,,,,,"988.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1954-09",,"965","10","7","0","0","0","0","0","0","49","0","0.0","2.90","88","44","4.76",,"0.0","67.4","75.1","59.7",,,,,,,"1094.2",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1954-10",,"1068","7","4","0","0","0","0","0","0","38","0","0.0","1.13","87","248","1.99",,"0.0","61.7","69.7","53.8",,,,,,,"1002.3",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1954-11",,"1068","10","8","0","0","0","1","0","0","32","0","0.0","1.70","64","807","4.93",,"0.0","46.4","52.7","40.0",,,,,,,"1439.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1954-12",,"1068","8","5","0","0","0","17","4","0","16","0","0.1","0.68","61","1709","3.03",,"0.1","35.9","41.7","30.1",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1955-01",,"0","8","2","2","0","0","28","7","0","13","1","0.9","0.31","50","2766","0.78",,"2.6","30.9","36.7","25.2",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1955-02",,"0","13","7","6","1","1","17","5","0","0","3","3.6","1.23","61","3606","3.01",,"5.2","35.0","42.6","27.4",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1955-03",,"0","13","8","2","1","0","14","0","0","19","2","2.7","1.02","71","4329","3.72",,"3.6","41.7","49.5","33.8",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1955-04",,"7","14","5","0","0","0","0","0","0","33","0","0.0","0.38","84","4683","1.98",,"0.0","53.5","62.0","44.9",,,,,,,"1848.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1955-05",,"91","7","5","0","0","0","0","0","1","41","0","0.0","1.46","90","4754","2.64",,"0.0","65.4","75.8","54.9",,,,,,,"917.8",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1955-06",,"242","13","7","0","0","0","0","0","0","51","0","0.0","0.59","88","4789","2.52",,"0.0","68.9","77.5","60.2",,,,,,,"830.2",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1955-07",,"733","4","3","0","0","0","0","0","14","65","0","0.0","0.20","100","0","0.51",,"0.0","80.9","90.0","71.7",,,,,,,"689.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1955-08",,"1140","15","8","0","0","0","0","0","10","61","0","0.0","3.62","100","0","10.87",,"0.0","78.1","86.0","70.2",,,,,,,"873.6",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1955-09",,"1257","8","4","0","0","0","0","0","0","50","0","0.0","1.22","83","34","2.67",,"0.0","67.8","75.3","60.2",,,,,,,"797.2",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1955-10",,"1277","10","8","0","0","0","0","0","0","41","0","0.0","2.39","83","215","6.87",,"0.0","59.8","67.4","52.2",,,,,,,"1424.8",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1955-11",,"1277","10","8","0","1","0","8","1","0","16","0","1.0","1.06","68","838","4.12",,"1.0","44.2","50.8","37.7",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1955-12",,"1277","5","1","2","1","0","26","9","0","5","3","2.7","0.15","53","1933","0.25",,"3.3","29.7","35.9","23.5",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","1956-01",,"0","10","6","1","0","0","25","5","0","14","1","0.5","0.52","48","2955","1.54",,"1.2","32.0","37.3","26.7",,,,,,,,,,,,
